SETU_CCNCT,pollutant,localidad,LL_years_count,years_as_LL,total_population,children_0_9,older_adults_60_plus,IPM_PROMEDIO,ESTRATO_MAYORITARIO
110011000000002572,CO,USME,7,2010;2011;2015;2021;2022;2023;2024,6186,986,472,0.324,1
110011000000005110,CO,ENGATIVA,7,2010;2013;2014;2015;2016;2017;2020,2398,151,616,0.0224242424242424,4
110011000000005114,CO,TEUSAQUILLO,7,2012;2013;2014;2015;2016;2017;2020,0,0,0,0.0,1
110011000000005115,CO,ENGATIVA,7,2012;2013;2014;2015;2016;2017;2020,2363,179,429,0.004,4
110011000000005402,CO,SUBA,7,2012;2013;2014;2017;2018;2019;2020,20201,2200,2862,0.0371428571428571,4
110011000000005502,CO,ENGATIVA,7,2012;2013;2014;2015;2016;2017;2020,23005,2210,3799,0.0555737704918032,3
110011000000005503,CO,ENGATIVA,7,2012;2013;2014;2015;2016;2017;2020,13587,1256,2423,0.0534939759036144,3
110011000000005506,CO,ENGATIVA,7,2012;2013;2014;2015;2016;2017;2020,1920,233,168,0.05,3
110011000000005509,CO,ENGATIVA,7,2012;2013;2014;2015;2016;2017;2020,7941,715,1322,0.06,3
110011000000005601,CO,SUBA,7,2012;2013;2014;2017;2018;2019;2020,10701,1065,1917,0.0564285714285714,3
110011000000005602,CO,ENGATIVA,7,2012;2013;2014;2017;2018;2019;2020,6649,542,1287,0.0423404255319149,3
110011000000005616,CO,SUBA,7,2013;2014;2017;2018;2019;2020;2024,13212,1440,2004,0.08,3
110011000000005619,CO,ENGATIVA,7,2013;2014;2017;2018;2019;2020;2024,14676,1442,2212,0.0575,3
110011000000008405,CO,USAQUEN,7,2011;2018;2019;2020;2021;2022;2023,3627,286,804,0.0341176470588235,6
110011000000008406,CO,USAQUEN,7,2011;2018;2019;2020;2021;2022;2023,10188,1141,1495,0.1058181818181818,2
110011000000008407,CO,USAQUEN,7,2011;2018;2019;2020;2021;2022;2023,3195,205,915,0.0722,6
110011000000008411,CO,USAQUEN,7,2011;2013;2014;2018;2019;2020;2021,5268,407,1060,0.0483333333333333,6
110011000000008418,CO,USAQUEN,7,2011;2013;2014;2018;2019;2020;2021,11240,987,2434,0.0217241379310344,6
110011000000008501,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,9921,924,1594,0.0676923076923076,3
110011000000008503,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,10244,1092,1528,0.042,3
110011000000008504,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,6731,958,604,0.1686666666666667,2
110011000000008505,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,14425,1630,1927,0.0863218390804597,3
110011000000008506,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,16733,1855,2242,0.0587209302325581,3
110011000000008516,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,6474,648,1113,0.0844999999999999,3
110011000000008519,CO,SUBA,7,2018;2019;2020;2021;2022;2023;2024,8454,581,2094,0.0346153846153846,4
110011000000008521,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,16284,2107,1527,0.0865853658536585,3
110011000000008522,CO,USAQUEN,7,2018;2019;2020;2021;2022;2023;2024,1872,207,219,0.0814285714285714,3
