localidad,pollutant,year,cluster,total_population,children_0_9,older_adults_60_plus,avg_IPM,sector_count
SUBA,PM2.5,2020,NS,915620,105774,119618,0.07050706375361554,41
SUBA,PM2.5,2021,LL,530882,53016,87347,0.07176995743443523,40
SUBA,PM2.5,2021,NS,771546,90723,94976,0.07383997192013568,29
SUBA,PM2.5,2022,LL,519177,51110,85199,0.07572899129980384,39
SUBA,PM2.5,2022,NS,783251,92629,97124,0.06862422741229982,30
SUBA,PM2.5,2023,LL,472000,44207,82495,0.051672728043999895,35
SUBA,PM2.5,2023,NS,830428,99532,99828,0.09422388239768668,34
SUBA,PM2.5,2024,LL,402287,37011,72104,0.045230580534222596,28
SUBA,PM2.5,2024,NS,900141,106728,110219,0.09135856653910027,41
SUBA,SO2,2011,LL,1190449,129241,170319,0.057026616925211944,57
SUBA,SO2,2011,NS,111979,14498,12004,0.14680335986035528,12
SUBA,SO2,2012,LL,1267434,138773,179094,0.06036427547195995,62
SUBA,SO2,2012,NS,34994,4966,3229,0.18136748625711815,7
SUBA,SO2,2014,HH,1166614,132481,152398,0.08441824987307338,53
SUBA,SO2,2014,NS,135814,11258,29925,0.033624389986778414,16
SUBA,SO2,2015,NS,1302428,143739,182323,0.07263996352262818,69
SUBA,SO2,2016,LL,57508,4459,13904,0.0323391312104686,6
SUBA,SO2,2016,NS,1244920,139280,168419,0.07647813802854814,63
SUBA,SO2,2017,LL,1222459,135276,170816,0.060431981616058124,58
SUBA,SO2,2017,NS,79969,8463,11507,0.13700932266636115,11
SUBA,SO2,2018,LL,63014,5615,12750,0.041545504248182,6
SUBA,SO2,2018,NS,1239414,138124,169573,0.07560134059638494,63
SUBA,SO2,2019,LL,169175,13767,37455,0.037804344454568074,15
SUBA,SO2,2019,NS,1133253,129972,144868,0.08231652437486708,54
SUBA,SO2,2020,LL,359262,31726,70261,0.038100131102164134,30
SUBA,SO2,2020,NS,943166,112013,112062,0.09920906538452358,39
SUBA,SO2,2021,LL,973668,103243,148253,0.05242645634220721,52
SUBA,SO2,2021,NS,328760,40496,34070,0.1344695148980335,17
SUBA,SO2,2022,LL,628189,76683,73068,0.0818225921774344,20
SUBA,SO2,2022,NS,674239,67056,109255,0.0688919518267889,49
SUBA,SO2,2023,HH,40087,6462,2475,0.1296135265700483,1
SUBA,SO2,2023,LL,484570,44088,89626,0.042419567164690995,38
SUBA,SO2,2023,NS,777771,93189,90222,0.10902001347443459,30
SUBA,SO2,2024,HH,445363,56210,48618,0.09451993102834295,12
SUBA,SO2,2024,LL,460381,41785,85378,0.04209177001504732,35
SUBA,SO2,2024,NS,396684,45744,48327,0.10930483455429875,22
SUBA,eBC,2021,LL,402339,39709,70872,0.04463271275284199,29
SUBA,eBC,2021,NS,900089,104030,111451,0.09294522033072315,40
SUBA,eBC,2022,HH,122235,12147,18708,0.06796584539456244,3
SUBA,eBC,2022,NS,1180193,131592,163615,0.07285242343754025,66
SUBA,eBC,2023,HH,176279,17899,26706,0.06253885643687802,7
SUBA,eBC,2023,NS,1126149,125840,155617,0.07378041109682577,62
TEUSAQUILLO,CO,2010,LL,36728,2329,7996,0.04756993242136626,9
TEUSAQUILLO,CO,2010,NS,43081,3043,9894,0.02681281321154397,11
TEUSAQUILLO,CO,2011,NS,79809,5372,17890,0.036153516855964005,20
TEUSAQUILLO,CO,2012,LL,69630,4773,15706,0.03612928208819209,16
TEUSAQUILLO,CO,2012,NS,10179,599,2184,0.03625045592705165,4
TEUSAQUILLO,CO,2013,LL,79809,5372,17890,0.036153516855964005,20
TEUSAQUILLO,CO,2014,LL,49605,3430,11637,0.03632858905817878,11
TEUSAQUILLO,CO,2014,NS,30204,1942,6253,0.03593953971992371,9
TEUSAQUILLO,CO,2015,HH,37544,2399,7766,0.037559340551047836,10
TEUSAQUILLO,CO,2015,LL,0,0,0,0.0,1
TEUSAQUILLO,CO,2015,NS,42265,2973,10124,0.03860854795653351,9
TEUSAQUILLO,CO,2016,HH,37544,2399,7766,0.037559340551047836,10
TEUSAQUILLO,CO,2016,LL,9823,646,2818,0.004444444444444433,3
TEUSAQUILLO,CO,2016,NS,32442,2327,7306,0.04773479975363833,7
TEUSAQUILLO,CO,2017,HH,24078,1599,4816,0.03274954801296262,5
TEUSAQUILLO,CO,2017,LL,24289,1696,6389,0.017994336165250684,6
TEUSAQUILLO,CO,2017,NS,31442,2077,6685,0.05015073111810698,9
TEUSAQUILLO,CO,2018,NS,79809,5372,17890,0.036153516855964005,20
TEUSAQUILLO,CO,2019,HH,61093,4126,14373,0.040943863376593136,13
TEUSAQUILLO,CO,2019,NS,18716,1246,3517,0.02725715903193846,7
TEUSAQUILLO,CO,2020,LL,60905,4241,13681,0.035982915793098647,14
TEUSAQUILLO,CO,2020,NS,18904,1131,4209,0.036551586002649815,6
TEUSAQUILLO,CO,2021,NS,79809,5372,17890,0.036153516855964005,20
TEUSAQUILLO,CO,2022,HH,16549,962,3647,0.035534065934065925,4
TEUSAQUILLO,CO,2022,NS,63260,4410,14243,0.03630837958643852,16
TEUSAQUILLO,CO,2023,HH,6965,439,1558,0.0243076923076923,1
TEUSAQUILLO,CO,2023,NS,72844,4933,16332,0.036776981305873035,19
TEUSAQUILLO,CO,2024,HH,11107,683,2547,0.04023589743589743,3
TEUSAQUILLO,CO,2024,NS,68702,4689,15343,0.03543309675362281,17
TEUSAQUILLO,NO2,2010,HH,75383,5081,17062,0.0364234880373182,18
TEUSAQUILLO,NO2,2010,NS,4426,291,828,0.0337237762237762,2
TEUSAQUILLO,NO2,2013,LL,67870,4680,15239,0.035204567560738226,15
TEUSAQUILLO,NO2,2013,NS,11939,692,2651,0.03900036474164132,5
TEUSAQUILLO,NO2,2014,HH,56078,3728,13107,0.038225342036331204,12
TEUSAQUILLO,NO2,2014,NS,23731,1644,4783,0.0330457790854132,8
TEUSAQUILLO,NO2,2015,LL,41316,2785,9011,0.04599743334435189,8
TEUSAQUILLO,NO2,2015,NS,38493,2587,8879,0.02959090586370541,12
TEUSAQUILLO,NO2,2016,HH,9823,646,2818,0.004444444444444433,3
TEUSAQUILLO,NO2,2016,LL,37544,2399,7766,0.037559340551047836,10
TEUSAQUILLO,NO2,2016,NS,32442,2327,7306,0.04773479975363833,7
TEUSAQUILLO,NO2,2017,HH,79809,5372,17890,0.036153516855964005,20
TEUSAQUILLO,NO2,2018,LL,29045,2025,7186,0.022840787564925472,7
TEUSAQUILLO,NO2,2018,NS,50764,3347,10704,0.043321909551138585,13
TEUSAQUILLO,NO2,2019,LL,72012,4924,16228,0.036733441965357265,17
TEUSAQUILLO,NO2,2019,NS,7797,448,1662,0.0328672745694022,3
TEUSAQUILLO,NO2,2020,LL,67870,4680,15239,0.035204567560738226,15
TEUSAQUILLO,NO2,2020,NS,11939,692,2651,0.03900036474164132,5
